CO,Coot,Fulica atra
IP,Sociable Plover,Vanellus gregarius
IS,Italian Sparrow,Passer domesticus italiae
IT,Black-winged Stilt,Himantopus himantopus
IV,Ivory Gull,Pagophila eburnea
IW,Bonelli's Warbler,Phylloscopus bonelli
J,Jay,Garrulus glandarius
JC,Little Crake,Porzana parva
JD,Jackdaw,Corvus monedula
JF,Saker Falcon,Falco cherrug
JH,Allen's Gallinule,Porphyrula alleni
JS,Jack Snipe,Lymnocryptes minimus
JU,Dark-eyed Junco,Junco hyemalis
K,Kestrel,Falco tinnunculus
KB,Black Kite,Milvus migrans
KE,King Eider,Somateria spectabilis
KF,Kingfisher,Alcedo atthis
KG,Kumlien's Gull,Larus glaucoides kumlieni
KI,Kittiwake,Rissa tridactyla
KL,Killdeer,Charadrius vociferus
KN,Knot,Calidris canutus
KP,Kentish Plover,Charadrius alexandrinus
KT,Red Kite,Milvus milvus
L,Lapwing,Vanellus vanellus
LA,Lapland Bunting,Calcarius lapponicus
LB,Lesser Black-backed Gull,Larus fuscus
LC,Lesser White-fronted Goose,Anser erythropus
LD,Long-billed Dowitcher,Limnodromus scolopaceus
LE,Long-eared Owl,Asio otus
LF,Laughing Gull,Larus atricilla
LG,Little Grebe,Tachybaptus ruficollis
LI,Linnet,Carduelis cannabina
LJ,Little Bunting,Emberiza pusilla
LK,Little Auk,Alle alle
LL,Little Bittern,Ixobrychus minutus
LM,Lady Amherst's Pheasant,Chrysolophus amherstiae
LN,Long-tailed Duck,Clangula hyemalis
LO,Little Owl,Athene noctua
LP,Little Ringed Plover,Charadrius dubius
LR,Lesser Redpoll,Carduelis flammea cabaret
LS,Lesser Spotted Woodpecker,Dendrocopos minor
LT,Long-tailed Tit,Aegithalos caudatus
LU,Little Gull,Larus minutus
LW,Lesser Whitethroat,Sylvia curruca curruca
LX,Little Stint,Calidris minuta
LY,Lesser Yellowlegs,Tringa flavipes
LZ,Greater Yellowlegs,Tringa melanoleuca
M,Mistle Thrush,Turdus viscivorus
MA,Mallard,Anas platyrhynchos
MD,Marsh Sandpiper,Tringa stagnatilis
ME,Melodious Warbler,Hippolais polyglotta
MG,Magpie,Pica pica
MH,Moorhen,Gallinula chloropus
ML,Merlin,Falco columbarius
MN,Mandarin,Aix galericulata
MO,Montagu's Harrier,Circus pygargus
MP,Meadow Pipit,Anthus pratensis
MR,Marsh Harrier,Circus aeruginosus
MS,Mute Swan,Cygnus olor
MT,Marsh Tit,Parus palustris
MU,Mediterranean Gull,Larus melanocephalus
MW,Marsh Warbler,Acrocephalus palustris
MX,Manx Shearwater,Puffinus puffinus
MZ,Bee-eater,Merops apiaster
N,Nightingale,Luscinia megarhynchos
NB,Spoonbill,Platalea leucorodia
NC,Nutcracker,Nucifraga caryocatactes
ND,Great Northern Diver,Gavia immer
NG,Ring-necked Duck,Aythya collaris
NH,Nuthatch,Sitta europaea
NJ,Nightjar,Caprimulgus europaeus
NK,Red-necked Phalarope,Phalaropus lobatus
NP,Greenish Warbler,Phylloscopus trochiloides
NS,Serin,Serinus serinus
NT,Night Heron,Nycticorax nycticorax
NW,Greenland White-fronted Goose,Anser albifrons flavirostris
NX,Great Skua,Catharacta skua
OA,Broad-billed Sandpiper,Limicola falcinellus
OB,Ortolan Bunting,Emberiza hortulana
OC,Oystercatcher,Haematopus ostralegus
OD,Wood Sandpiper,Tringa glareola
OE,Rose-coloured Starling,Sturnus roseus
OG,Long-tailed Skua,Stercorarius longicaudus
OL,Golden Oriole,Oriolus oriolus
ON,Bonaparte's Gull,Larus philadelphia
OO,Woodchat Shrike,Lanius senator
OP,Osprey,Pandion haliaetus
OR,White Stork,Ciconia ciconia
OS,Black Stork,Ciconia nigra
OT,Sooty Shearwater,Puffinus griseus
OV,Olive-backed Pipit,Anthus hodgsoni
P,Grey Partridge,Perdix perdix
PA,Pallas's Warbler,Phylloscopus proregulus
PB,Pale-bellied Brent Goose,Branta bernicla hrota
PC,Parrot Crossbill,Loxia pytyopsittacus
PD,Two-barred Crossbill,Loxia leucoptera
PE,Peregrine,Falco peregrinus
PF,Pied Flycatcher,Ficedula hypoleuca
PG,Pink-footed Goose,Anser brachyrhynchus
PH,Pheasant,Phasianus colchicus
PI,Pied Wheatear,Oenanthe pleschanka
PJ,Pied-billed Grebe,Podilymbus podiceps
PK,Pomarine Skua,Stercorarius pomarinus
PL,Grey Phalarope,Phalaropus fulicarius
PM,Ptarmigan,Lagopus mutus
PO,Pochard,Aythya ferina
PP,Pectoral Sandpiper,Calidris melanotos
PQ,Spotted Sandpiper,Actitis macularia
PR,Richard's Pipit,Anthus novaeseelandiae
PS,Purple Sandpiper,Calidris maritima
PT,Pintail,Anas acuta
PU,Puffin,Fratercula arctica
PW,Pied Wagtail,Motacilla alba yarrellii
PY,Paddyfield Warbler,Acrocephalus agricola
PZ,Semipalmated Sandpiper,Calidris pusilla
Q,Quail,Coturnix coturnix
QG,Ross's Gull,Rhodostethia rosea
QH,Squacco Heron,Ardeola ralloides
QT,Royal Tern,Sterna maxima
QW,Great Reed Warbler,Acrocephalus arundinaceus
R,Robin,Erithacus rubecula
RA,Razorbill,Alca torda
RB,Reed Bunting,Emberiza schoeniclus
RC,Rock Pipit,Anthus petrosus
RE,Redwing,Turdus iliacus
RF,Rough-legged Buzzard,Buteo lagopus
RG,Red Grouse,Lagopus lagopus
WR,Wren,Troglodytes troglodytes
RH,Red-throated Diver,Gavia stellata
RI,Ring-necked Parakeet,Psittacula krameri
RK,Redshank,Tringa totanus
RL,Red-legged Partridge,Alectoris rufa
RM,Red-breasted Merganser,Mergus serrator
RN,Raven,Corvus corax
RO,Rook,Corvus frugilegus
RP,Ringed Plover,Charadrius hiaticula
RQ,Red-crested Pochard,Netta rufina
RR,Barred Warbler,Sylvia nisoria
RS,Roseate Tern,Sterna dougallii
RT,Redstart,Phoenicurus phoenicurus
RU,Ruff,Philomachus pugnax
WU,White-rumped Sandpiper,Calidris fuscicollis
RX,Red-necked Grebe,Podiceps grisegena
RY,Ruddy Duck,Oxyura jamaicensis
RZ,Ring Ouzel,Turdus torquatus
S,Sky Lark,Alauda arvensis
SA,Shag,Phalacrocorax aristotelis
SB,Snow Bunting,Plectrophenax nivalis
SC,Stonechat,Saxicola torquata
SD,Stock Dove,Columba oenas
SE,Short-eared Owl,Asio flammeus
SF,Spotted Flycatcher,Muscicapa striata
SG,Starling,Sturnus vulgaris
SH,Sparrowhawk,Accipiter nisus
WV,White-billed Diver,Gavia adamsii
SJ,Snow Goose,Anser caerulescens
SK,Siskin,Carduelis spinus
SL,Swallow,Hirundo rustica
SM,Sand Martin,Riparia riparia
SN,Common Snipe,Gallinago gallinago
SO,Snowy Owl,Nyctea scandiaca
SP,Scaup,Aythya marila
SQ,Common Rosefinch,Carpodacus erythrinus
SR,Great Grey Shrike,Lanius excubitor
SS,Sanderling,Calidris alba
ST,Song Thrush,Turdus philomelos
SU,Shelduck,Tadorna tadorna
SV,Shoveler,Anas clypeata
SW,Sedge Warbler,Acrocephalus schoenobaenus
SX,Shore Lark,Eremophila alpestris
SY,Smew,Mergellus albellus
SZ,Slavonian Grebe,Podiceps auritus
T,Teal,Anas crecca
